date,month_day,description,type
1900-01-01,01-01,New Year's Day,Restricted Holiday
1900-01-04,01-04,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
1900-01-05,01-05,Guru Govind Singh Jayanti,Observance
1900-01-07,01-07,Guru Govind Singh Jayanti,Restricted Holiday
1900-01-13,01-13,Makar Sankranti,Restricted Holiday
1900-01-14,01-14,Pongal,Restricted Holiday
1900-01-15,01-15,Makar Sankranti,Restricted Holiday
1900-01-16,01-16,Guru Govind Singh Jayanti,Restricted Holiday
1900-01-18,01-18,Guru Govind Singh Jayanti,Restricted Holiday
1900-01-22,01-22,"Beti Bachao, Beti Padhao Campaign Launch Day",Observance
1900-01-23,01-23,Chinese New Year,Observance
1900-01-24,01-24,Vasant Panchami,Restricted Holiday
1900-01-25,01-25,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
1900-01-26,01-26,Republic Day,Gazetted Holiday
1900-01-28,01-28,Vasant Panchami,Restricted Holiday
1900-01-31,01-31,Chinese New Year,Observance
1900-02-01,02-01,Vasant Panchami,Restricted Holiday
1900-02-03,02-03,Guru Ravidas Jayanti,Restricted Holiday
1900-02-04,02-04,Vasant Panchami,Restricted Holiday
1900-02-05,02-05,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
1900-02-07,02-07,Guru Ravidas Jayanti,Restricted Holiday
1900-02-08,02-08,Chinese New Year,Observance
1900-02-10,02-10,Chinese New Year,Observance
1900-02-12,02-12,Vasant Panchami,Restricted Holiday
1900-02-14,02-14,Valentine's Day,Observance
1900-02-15,02-15,Vasant Panchami,Restricted Holiday
1900-02-16,02-16,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
1900-02-17,02-17,Maha Shivaratri/Shivaratri,Gazetted Holiday
1900-02-19,02-19,Shivaji Jayanti,Restricted Holiday
1900-02-20,02-20,Maha Shivaratri/Shivaratri,Gazetted Holiday
1900-02-21,02-21,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
1900-02-22,02-22,Guru Ravidas Jayanti,Restricted Holiday
1900-02-23,02-23,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
1900-02-24,02-24,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
1900-02-25,02-25,Guru Ravidas Jayanti,Restricted Holiday
1900-02-27,02-27,Maha Shivaratri/Shivaratri,Gazetted Holiday
1900-03-04,03-04,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
1900-03-05,03-05,Holika Dahana,Restricted Holiday
1900-03-06,03-06,Holi,Restricted Holiday
1900-03-07,03-07,Holika Dahana,Restricted Holiday
1900-03-08,03-08,Holi,Gazetted Holiday
1900-03-10,03-10,Maha Shivaratri/Shivaratri,Gazetted Holiday
1900-03-12,03-12,Holika Dahana,Restricted Holiday
1900-03-13,03-13,Holi,Restricted Holiday
1900-03-16,03-16,Holi,Gazetted Holiday
1900-03-17,03-17,Holi,Restricted Holiday
1900-03-20,03-20,March Equinox,Season
1900-03-21,03-21,March Equinox,Season
1900-03-23,03-23,Chaitra Sukhladi,Restricted Holiday
1900-03-24,03-24,Maundy Thursday,"Observance, Christian"
1900-03-25,03-25,Good Friday,Gazetted Holiday
1900-03-26,03-26,First day of Passover,Observance
1900-03-27,03-27,Holi,Gazetted Holiday
1900-03-28,03-28,Maundy Thursday,"Observance, Christian"
1900-03-29,03-29,Good Friday,Gazetted Holiday
1900-03-31,03-31,Easter Day,Restricted Holiday
1900-04-01,04-01,Rama Navami,Gazetted Holiday
1900-04-02,04-02,Maundy Thursday,"Observance, Christian"
1900-04-03,04-03,Good Friday,Gazetted Holiday
1900-04-04,04-04,First day of Passover,Observance
1900-04-05,04-05,Maundy Thursday,"Observance, Christian"
1900-04-06,04-06,Good Friday,Gazetted Holiday
1900-04-07,04-07,First day of Passover,Observance
1900-04-08,04-08,Easter Day,Restricted Holiday
1900-04-09,04-09,Mahavir Jayanti,Gazetted Holiday
1900-04-11,04-11,Chaitra Sukhladi,Restricted Holiday
1900-04-13,04-13,Vaisakhi,Restricted Holiday
1900-04-14,04-14,Mesadi/Vaisakhadi,Restricted Holiday
1900-04-15,04-15,First day of Passover,Observance
1900-04-16,04-16,Easter Day,Restricted Holiday
1900-04-17,04-17,Maundy Thursday,"Observance, Christian"
1900-04-18,04-18,Good Friday,Gazetted Holiday
1900-04-19,04-19,Rama Navami,Gazetted Holiday
1900-04-20,04-20,Easter Day,Restricted Holiday
1900-04-21,04-21,Hazarat Ali's Birthday,Restricted Holiday
1900-04-23,04-23,First day of Passover,Observance
1900-04-24,04-24,Mahavir Jayanti,Gazetted Holiday
1900-05-01,05-01,May Day,Observance
1900-05-03,05-03,Hazarat Ali's Birthday,Restricted Holiday
1900-05-04,05-04,Buddha Purnima/Vesak,Gazetted Holiday
1900-05-06,05-06,Buddha Purnima/Vesak,Gazetted Holiday
1900-05-08,05-08,Birthday of Ravindranath,Restricted Holiday
1900-05-09,05-09,Birthday of Ravindranath,Restricted Holiday
1900-05-10,05-10,Mother's Day,Observance
1900-05-11,05-11,Mother's Day,Observance
1900-05-12,05-12,Mother's Day,Observance
1900-05-13,05-13,Mother's Day,Observance
1900-05-14,05-14,Buddha Purnima/Vesak,Gazetted Holiday
1900-05-21,05-21,Buddha Purnima/Vesak,Gazetted Holiday
1900-05-24,05-24,Hazarat Ali's Birthday,Restricted Holiday
1900-05-25,05-25,Buddha Purnima/Vesak,Gazetted Holiday
1900-06-04,06-04,Hazarat Ali's Birthday,Restricted Holiday
1900-06-15,06-15,Father's Day,Observance
1900-06-16,06-16,Father's Day,Observance
1900-06-17,06-17,Father's Day,Observance
1900-06-18,06-18,Father's Day,Observance
1900-06-19,06-19,Father's Day,Observance
1900-06-21,06-21,June Solstice,Season
1900-06-23,06-23,Jamat Ul-Vida,Restricted Holiday
1900-06-25,06-25,Rath Yatra,Restricted Holiday
1900-06-26,06-26,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
1900-06-29,06-29,Rath Yatra,Restricted Holiday
1900-07-01,07-01,Jamat Ul-Vida,Restricted Holiday
1900-07-06,07-06,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
1900-07-10,07-10,Rath Yatra,Restricted Holiday
1900-07-17,07-17,Jamat Ul-Vida,Restricted Holiday
1900-07-18,07-18,Rath Yatra,Restricted Holiday
1900-07-19,07-19,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
1900-07-25,07-25,Jamat Ul-Vida,Restricted Holiday
1900-07-29,07-29,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
1900-08-02,08-02,Raksha Bandhan (Rakhi),Restricted Holiday
1900-08-03,08-03,Friendship Day,Observance
1900-08-04,08-04,Friendship Day,Observance
1900-08-05,08-05,Friendship Day,Observance
1900-08-06,08-06,Friendship Day,Observance
1900-08-07,08-07,Friendship Day,Observance
1900-08-09,08-09,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
1900-08-10,08-10,Janmashtami,Gazetted Holiday
1900-08-15,08-15,Independence Day,Gazetted Holiday
1900-08-17,08-17,Jamat Ul-Vida,Restricted Holiday
1900-08-18,08-18,Parsi New Year,Restricted Holiday
1900-08-20,08-20,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
1900-08-25,08-25,Janmashtami,Gazetted Holiday
1900-08-28,08-28,Janmashtami,Gazetted Holiday
1900-08-29,08-29,Onam,Restricted Holiday
1900-09-02,09-02,Bakr Id/Eid ul-Adha,Gazetted Holiday
1900-09-04,09-04,Onam,Restricted Holiday
1900-09-05,09-05,Janmashtami,Gazetted Holiday
1900-09-07,09-07,Onam,Restricted Holiday
1900-09-09,09-09,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
1900-09-13,09-13,Bakr Id/Eid ul-Adha,Gazetted Holiday
1900-09-14,09-14,Onam,Restricted Holiday
1900-09-16,09-16,Onam,Restricted Holiday
1900-09-17,09-17,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
1900-09-19,09-19,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
1900-09-22,09-22,September Equinox,Season
1900-09-23,09-23,September Equinox,Season
1900-09-25,09-25,Bakr Id/Eid ul-Adha,Gazetted Holiday
1900-09-27,09-27,Maha Saptami,Restricted Holiday
1900-09-28,09-28,Maha Ashtami,Restricted Holiday
1900-09-29,09-29,Maha Navami,Restricted Holiday
1900-09-30,09-30,Dussehra,Gazetted Holiday
1900-10-01,10-01,Maha Saptami,Restricted Holiday
1900-10-02,10-02,Mahatma Gandhi Jayanti,Gazetted Holiday
1900-10-03,10-03,Dussehra,Gazetted Holiday
1900-10-05,10-05,Maharishi Valmiki Jayanti,Restricted Holiday
1900-10-06,10-06,Bakr Id/Eid ul-Adha,Gazetted Holiday
1900-10-08,10-08,Karaka Chaturthi (Karva Chauth),Restricted Holiday
1900-10-09,10-09,Maha Ashtami,Restricted Holiday
1900-10-11,10-11,Maha Saptami,Restricted Holiday
1900-10-12,10-12,Maha Ashtami,Restricted Holiday
1900-10-13,10-13,Dussehra,Gazetted Holiday
1900-10-14,10-14,National Day of Mourning King Bhumibol Adulyadej,National holiday
1900-10-16,10-16,Bakr Id/Eid ul-Adha,Gazetted Holiday
1900-10-18,10-18,Maharishi Valmiki Jayanti,Restricted Holiday
1900-10-19,10-19,Karaka Chaturthi (Karva Chauth),Restricted Holiday
1900-10-20,10-20,Maha Saptami,Restricted Holiday
1900-10-21,10-21,Maha Saptami,Restricted Holiday
1900-10-22,10-22,Maha Ashtami,Restricted Holiday
1900-10-23,10-23,Diwali/Deepavali,Gazetted Holiday
1900-10-24,10-24,Dussehra,Gazetted Holiday
1900-10-25,10-25,Bhai Duj,Restricted Holiday
1900-10-26,10-26,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
1900-10-27,10-27,Bakr Id/Eid ul-Adha,Gazetted Holiday
1900-10-29,10-29,Maharishi Valmiki Jayanti,Restricted Holiday
1900-10-30,10-30,Karaka Chaturthi (Karva Chauth),Restricted Holiday
1900-10-31,10-31,Halloween,Observance
1900-11-01,11-01,Bhai Duj,Restricted Holiday
1900-11-02,11-02,Karaka Chaturthi (Karva Chauth),Restricted Holiday
1900-11-03,11-03,Diwali/Deepavali,Gazetted Holiday
1900-11-04,11-04,Govardhan Puja,Restricted Holiday
1900-11-05,11-05,Bhai Duj,Restricted Holiday
1900-11-06,11-06,Guru Nanak Jayanti,Gazetted Holiday
1900-11-08,11-08,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
1900-11-10,11-10,Naraka Chaturdasi,Restricted Holiday
1900-11-11,11-11,Diwali/Deepavali,Gazetted Holiday
1900-11-12,11-12,Naraka Chaturdasi,Restricted Holiday
1900-11-13,11-13,Diwali/Deepavali,Gazetted Holiday
1900-11-14,11-14,Govardhan Puja,Restricted Holiday
1900-11-15,11-15,Bhai Duj,Restricted Holiday
1900-11-17,11-17,Guru Nanak Jayanti,Gazetted Holiday
1900-11-19,11-19,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
1900-11-24,11-24,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
1900-11-25,11-25,Muharram/Ashura,Gazetted Holiday
1900-11-28,11-28,Guru Nanak Jayanti,Gazetted Holiday
1900-12-02,12-02,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
1900-12-05,12-05,Last day of Hanukkah,Observance
1900-12-07,12-07,First Day of Hanukkah,Observance
1900-12-09,12-09,First Day of Hanukkah,Observance
1900-12-13,12-13,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
1900-12-14,12-14,Last day of Hanukkah,Observance
1900-12-16,12-16,Last day of Hanukkah,Observance
1900-12-17,12-17,First Day of Hanukkah,Observance
1900-12-20,12-20,Last day of Hanukkah,Observance
1900-12-21,12-21,December Solstice,Season
1900-12-22,12-22,December Solstice,Season
1900-12-24,12-24,Christmas Eve,Restricted Holiday
1900-12-25,12-25,Christmas,Gazetted Holiday
1900-12-31,12-31,New Year's Eve,Observance
