store_nbr,Store name,city,state,type,cluster
1.0,BB - FC-GUWAHATI-BHANAGAGHAR-CITY SQUARE  G.S ROAD,GUWAHATI,Assam,D,13
2.0,BB-JOHRAT-MOUZA- NAGARMHAL-PMS / B&A COMPLEX ,JOHRAT,,D,13
3.0,BB-SILCHAR-PARGANA-BARAKPUR-GOLDOGH COMMERCIAL COMPLEX,SILCHAR,,D,8
4.0,FBB-GUWAHATI-PALTAN BAZAR-G.S.ROAD,GUWAHATI,Assam,D,9
5.0,BB - FC-PATNA-PATALIPUTRA COLONY-P&M MALL,PATNA,Bihar,D,4
6.0,BB-PATNA- EXHIBITION ROAD-P MALL,PATNA,Bihar,D,13
7.0,FBB-BHAGALPUR-DN SINGHROAD-JIWANSAGAR TOWER,BHAGALPUR,Bihar,D,8
8.0,BB-PATNA-BAILEY ROAD-KASHYAP BUSINESS PARK,PATNA,Bihar,D,8
9.0,BB-RAIPUR-DEVENDRA NAGAR-OPP-EPF BUILDING,RAIPUR,Chhattisgarh,B,6
10.0,BB-BILASPUR-24 MAGARPARA LINK ROAD-RAO TRADE CENTER,BILASPUR,Chhattisgarh,C,15
11.0,BB-BHILAI-NEHRU NAGAR-SURYA TREASURE ISLAND MALL,BHILAI,Chhattisgarh,B,6
12.0,FBB-RAIPUR-BIDHANSABHA ROAD-AMBUJA MALL CITY ,RAIPUR,Chhattisgarh,C,15
13.0,BB-DHANBAD- SARAIDHELA-SRI RAM CITY MALL,DHANBAD,Jharkhand,C,15
14.0,BB - FC-RANCHI-MAIN ROAD OPP RANCHI CLUB-JC TOWER,RANCHI,Jharkhand,C,7
15.0,BB-JAMSHEDPUR-NEAR DIMNA CHOWK,JAMSHEDPUR,Jharkhand,C,15
16.0,BB-DEOGHAR-SUBHASH ROAD,DEOGHAR,Jharkhand,C,3
17.0,BB-NAGPUR- RAMDAS PETH-LANDMARK BLDG ,NAGPUR,Maharashtra,C,12
18.0,BB - FC-NAGPUR- VARDHMAN NAGAR- POONAM MALL,NAGPUR,Maharashtra,B,16
19.0,BB-NAGPUR-RAILWAY STATION ROAD- EMPRESS MALL,NAGPUR,Maharashtra,C,15
20.0,FBB-NAGPUR- SITABULDI-ETERNITY MALL,NAGPUR,Maharashtra,B,6
21.0,BB-JHARSUGDA- SARBAHAL ROAD-SHANTI CITY CENTRE,JHARSUGDA,,B,6
22.0,BB-BHUBHANESHWAR- KHARVEL NAGAR-FORUM MART ,BHUBHANESWAR,,C,7
23.0,BB-BHUBHANESHWAR- PATIA- MARUTI MALL,BHUBHANESWAR,0,D,9
24.0,BB-CUTTACK- OLD JAIL ROAD-NETAJI SUBHAS CHANDRA BOSE SHOPPING ARCADE,CUTTACK,Odisha,D,1
25.0,BB-SAMBALPUR- KHETRAJPUR-CITY CENTRE,SAMBALPUR,Odisha,D,1
26.0,BB-GANGTOK-NAMNAG ROAD-NAMNAG COMMERICAL COMPLEX,GANGTOK,Sikkim,D,10
27.0,BB-AGARTALA- MANTRI BARI ROAD-M.L.PLAZA,AGARTALA,Tripura,D,1
28.0,BB-KOLKATA- RAGHUNATHPUR- VIP ROAD,KOLKATA,West Bengal,E,10
29.0,BB-KOLKATA-HILAND PARK-THE METROPOLIS,KOLKATA,West Bengal,E,10
30.0,BB-KOLKATA-RAJA .S.C. MULLICK ROAD-ORBIT MALL,KOLKATA,West Bengal,C,3
31.0,BB-KOLKATA-J.L.NEHRU ROAD-LIC-ESPALANDE ,KOLKATA,West Bengal,B,10
32.0,BB - FC-KOLKATA-BELEGHATA AIN ROAD-SEALDAH COMMERCIAL COMPLEX,KOLKATA,West Bengal,C,3
33.0,BB-KOLKATA-SALT LAKE CITY,KOLKATA,West Bengal,C,3
34.0,BB-KOLKATA-BIRATI,KOLKATA,West Bengal,B,6
35.0,BB-BARASAT-JESSORE ROAD-SUNCITY MALL,BARASAT,West Bengal,C,3
36.0,BB-HOWRAH- LILUAH-R.D MALL ,HOWRAH,West Bengal,E,10
37.0,BB-ASANSOL-BURNBPUR ROAD-GALAXY MALL,ASANSOL,West Bengal,D,2
38.0,BB-HOWRAH-JAGAT BANERJEE GHAT ROAD-AVANI RIVER SIDE MALL,HOWRAH,West Bengal,D,4
39.0,BB-DARJEELING- LADEN LA ROAD-RINK MALL ,DARJEELING,,B,6
40.0,BB-SILIGURI- SEVOKE ROAD-COSMOS MALL,SILIGURI,West Bengal,C,3
41.0,FBB-SILIGURI-CITY CENTER SILIGURI MALL,SILIGURI,West Bengal,D,4
42.0,BB-DURGAPUR-   DURGAPUR-DREAMPLEX COMPLEX,DURGAPUR,West Bengal,D,2
43.0,BB-BURDWAN- JAIL KHANA MORE-BURDWAN ARCADE,BURDWAN,0,E,10
44.0,FBB-KOLKATA- MANIKTALA MAIN ROAD- MANISQUARE MALL,KOLKATA,West Bengal,A,5
45.0,BB-KHARAGPUR- KHARAGPUR-PUJA MALL,KHARAGPUR,West Bengal,A,11
46.0,BB-KOLKATA-JESSORE ROAD- DIAMOND CITY NORTH MALL,KOLKATA,West Bengal,A,14
47.0,BB-KOLKATA- PARGANAS-WOOD SQUARE MALL,KOLKATA,West Bengal,A,14
48.0,BB-KOLKATA-RAJARHAT-BLOCK BY BLOCK SHOPPING MALL,KOLKATA,West Bengal,A,14
49.0,BB-KOLKATA-RASHBEHARI AVENUE-LAKEMALL,KOLKATA,West Bengal,A,11
50.0,FBB-KOLKATA- HOWRAH MAIDAN,KOLKATA,West Bengal,A,14
51.0,BB-KOLKATA-SREEBHUMI- ALCOVE GLORIA,KOLKATA,West Bengal,A,17
52.0,BB-KOLKATA- SHREERAMPUR-RD PLAZA,KOLKATA,West Bengal,A,11
53.0,BB-HALDIA- DIST. EAST OF MADINIPUR-MOUZA DEBHOG,HALDIA,West Bengal,D,13
54.0,BB-BOKARO-BOKARO STEEL CITY- THE BOKARO MALL,BOKARO,Jharkhand,C,3
